Tool Type,Tool Name,,Serial Number,Model Number,Purchase Date,Loaned out to,,
Circular Saw,Makita 1,FALSE,*0021864,5007FA,,,,Barcodes - Brother Label Maker
Circular Saw,Makita 2,FALSE,*0017792,5007FA,,,,Scan barcode to checkboxes
Circular Saw,Makita 4,FALSE,21614,,,,,Barcodes for toolbelts? - scan to check out?
Circular Saw,Makita 5,FALSE,*0021604,5007FA,,,,
Circular Saw,Makita 6,FALSE,*0021863,5007FA,,,,
Circular Saw,Makita 7,FALSE,54079,5077B /Wormdrive,,,,
Circular Saw,Makita 9,FALSE,*0072770,5007FA,,,,
Circular saw,Makita ,FALSE,*0001991,"5007MGA / 7 1/4""",12/2021,,,
Circular saw,Makita ,,*00010985,"5007MGA / 7 1/4""",12/2021,,,
Circular saw,Makita ,FALSE,*00015836,"5104 /10 1/14""",12/2021,,,
Circular Saw,Porter Cable 3,FALSE,065449 A 2013,,,,,
Circular Saw,Porter Cable 4,FALSE,A 037163,,,,,
Circular Saw,Porter Cable 8,FALSE,22603,,,Broken tool cabinet,,
Circular Saw,Dewalt 6,FALSE,17637,,,,,
Circular Saw,Cordless Dewalt 1,FALSE,43413,,,,,
Circular Saw,Cordless Dewalt 2,FALSE,799327,,,,,
Circular Saw LH,Bosch LH circular saw,FALSE,307000246,,,,,
Circular Saw LH,Bosch LH circular saw,FALSE,307000248,,,,,
Circular Saw,Bosch RH circular saw,FALSE,408046903,,,,,
Circular Saw,Bosch RH circular saw,FALSE,505020874,,,,,
Corded Drill,Bosch 1,FALSE,2911,,,,,
Corded Drill,Bosch 2,FALSE,,,,,,
Corded Drill,Makita 3,FALSE,,,,,,
Corded Drill,Dewalt 4,,408931,,,,,
Corded Drill,Dewalt 5,,438543,,,,,
Corded Drill,Dewalt 6,,736664,,,,,
Corded Drill,Dewalt 8 DW130,,81661,,,,,
Corded Drill,Craftsman 6,,33954,,,,,
Sawzall,Dewalt 4,,83295 9948E,,,,,
Sawzall,Milwaukee 1,,326A301067098,,,Broken tool cabinet,,
Sawzall,Porter Cable 1,,209454 A 2002,,,,,
Sawzall,Porter Cable 3,,83284,,,,,
Multi Tool,Bosch Oscillating Saw,,810036457,GOP30-40,10/2019,,,
Jig Saw,Bosch 1,,***007681,,,,,
Jig Saw,Bosch 2,,unreadable,,,,,
Jig Saw,Bosch,,,,,,,
Jig Saw,Craftsman 3,,D7178,,,,,
Screw Gun,Hitachi 5,,N30174,,,,,
Screw Gun,Hitachi 6,,471439,,,,,
Screw Gun,Makita 7,,318818,,,,,
Screw Gun,Porter Cable 3,,1799599961,,,,,
Screw Gun,Porter Cable 4,,141927A7905,,,,,
Screw Gun,Porter Cable 8,,,,,,,
Screw Gun,Milwaukee 1,,792A394470903,,,,,
Rotozip,Porter Cable 2,,195916A0071,,,,,
Rotozip,Rotozip 1,,DK263387,,,,,
Rotozip,Rotozip3,,,,,,,
Rotozip,Porter Cable 3,,202031A0042,,,,,
Cordless Drill,Bosch,,,,,,,
Cordless Drill,Milwaukee,,A77A507383173,,,,,
Cordless Drill,Makita 1,,1555947,,,,,
Cordless Drill,Makita 2,,1197435,,,,,
Cordless Drill,Makita 3,,140735,,,,,
Cordless Drill,Dewalt 1,,312729,,,,,
Cordless Drill,Dewalt 2,,177781,,,,,
Cordless Drill,Makita 4,,1136058,XFD10,9-2020,,,
Cordless Drill,Makita 5,,1165553,XFD10,9-2020,,,
Impact Driver,Makita 1,,730721,,,,,
Impact Driver,Makita 2,,1919902,,,,,
Impact Driver,Makita 3,,119404,,,,,
Impact Driver,Makita 4,,2147346,XDT11,9/1/2020,,,
Impact Driver,makita 5,,2190014,XDT11,9/1/2020,,,
Nail gun,Porter cable 18 g 1/4” crown stapler,,30BA31848S,,,,,
Nail gun,Porter cable 15g angle finish nailer,,52411TYI,,,,,
Nail gun,"Porter cable 15g angle finish nailer 2-1/2""",,19196234L147,DA250C TY2,10-24-19,,,
Nail gun,"Porter cable 15g angle finish nailer 2-1/2""",,19126003L247,DA250C TY2,10-24-19,,,
Nail gun,Porter cable 18g brad nailer,,744486136011,,,,,
Nail gun,"Porter cable 18g brad nailer 2""",,17113125QBJ,BN200C,10-24-19,,,
Nail gun,"Porter cable 18g brad nailer 2""",,18212306K147,BN200C,10-24-19,,,
Nail gun,Bostitch N80 stick nailer,,2217 90,,,,,
Nail gun,Bostitch siding gun,,16S355,,,,,
Nail gun,Bostitch N89C,,09250-0082,,,,,
Nail gun,Bostitch brad nailer,,1071660,,,,,
Nail gun,Senco roofing nail gun,,,,,,,
Nail gun,Bostitch 18g Flooring Stapler,,19089058 J2 47,EHF 1838K,10-17-19,,,
Electric staple gun,Powershot pro T-50,,NA,,,,,
Power plane,Makita,,,,,,,
Drywall sanding vac,Porta Cable,,,,,,,
Drywall sanding vac,Porta Cable,,,,,,,
Collated screw gun,Rigid 6790,,CS1113 50359,,,,,
Belt Sander,Porta Cable,,,,,,,